19990315,2200,5373.5000000,5440.5000000,5343.0000000,5400.5000000,53317
19990316,2200,5388.5000000,5479.0000000,5379.0000000,5443.5000000,64226
19990317,2200,5431.5000000,5481.5000000,5406.0000000,5415.5000000,66718
19990318,2200,5388.5000000,5398.5000000,5335.5000000,5380.5000000,70473
19990319,2200,5448.5000000,5538.0000000,5448.5000000,5487.5000000,48253
19990322,2200,5438.5000000,5457.0000000,5389.5000000,5412.5000000,35274
19990323,2200,5369.5000000,5408.0000000,5230.5000000,5242.5000000,56871
19990324,2200,5193.5000000,5217.5000000,5122.0000000,5168.5000000,73832
19990325,2200,5183.5000000,5257.5000000,5167.5000000,5237.5000000,39707
19990326,2200,5244.5000000,5262.0000000,5100.5000000,5183.5000000,56887
19990329,2200,5178.5000000,5246.5000000,5149.5000000,5243.5000000,36510
19990330,2200,5258.5000000,5289.5000000,5185.0000000,5219.0000000,36142
19990331,2200,5214.5000000,5267.5000000,5204.5000000,5228.5000000,32878
19990401,2200,5193.5000000,5286.5000000,5132.5000000,5277.5000000,39398
19990406,2200,5322.5000000,5408.5000000,5297.5000000,5400.5000000,40967
19990407,2200,5372.5000000,5431.0000000,5357.0000000,5378.5000000,43081
19990408,2200,5420.5000000,5448.5000000,5360.5000000,5438.5000000,44939
19990409,2200,5493.5000000,5547.5000000,5463.5000000,5525.5000000,63101
19990412,2200,5457.5000000,5558.0000000,5448.5000000,5524.5000000,49538
19990413,2200,5591.0000000,5598.5000000,5531.0000000,5583.0000000,49134
19990414,2200,5573.5000000,5602.0000000,5514.5000000,5548.5000000,48892
19990415,2200,5526.5000000,5589.5000000,5518.5000000,5552.5000000,42290
19990416,2200,5573.5000000,5578.5000000,5490.5000000,5523.0000000,39318
19990419,2200,5527.5000000,5626.0000000,5527.5000000,5616.0000000,37267
19990420,2200,5554.5000000,5566.0000000,5445.5000000,5463.5000000,50445
19990421,2200,5504.5000000,5541.0000000,5469.0000000,5538.5000000,40007
19990422,2200,5574.5000000,5632.5000000,5570.5000000,5589.0000000,44816
19990423,2200,5613.5000000,5635.5000000,5543.5000000,5566.5000000,41566
19990426,2200,5595.5000000,5653.5000000,5576.5000000,5638.5000000,35493
19990427,2200,5662.0000000,5737.0000000,5621.5000000,5730.0000000,52360
19990428,2200,5707.5000000,5737.5000000,5678.5000000,5704.5000000,38633
19990429,2200,5688.5000000,5721.5000000,5654.0000000,5698.5000000,44616
19990430,2200,5697.5000000,5775.5000000,5693.5000000,5748.0000000,34863
19990503,2200,5715.5000000,5764.5000000,5707.0000000,5752.5000000,28237
19990504,2200,5793.5000000,5823.5000000,5723.5000000,5733.5000000,45160
